service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF10-14-901-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-18-901-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-18-902-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-18-903-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-19-682-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-19-694-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-19-697-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-19-740-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-19-753-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-19-754-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-20-701-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-20-703-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-20-704-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-20-706-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-20-733-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-20-766-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-20-767-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-21-663-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-664-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-671-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-672-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-675-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-677-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-679-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-680-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-681-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-682-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-688-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-689-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-690-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-691-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-694-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-695-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-697-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-699-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-732-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-734-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-735-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-736-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-737-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-738-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-742-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-745-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-753-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-754-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-755-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-757-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-758-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-21-765-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-22-663-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-22-693-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-22-694-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-22-696-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-22-732-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-22-742-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-27-786-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-27-787-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-27-788-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-27-887-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-28-833-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-29-681-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-682-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-688-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-691-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-699-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-734-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-735-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-736-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-737-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-740-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-754-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-29-755-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF10-33-200-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-33-207-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-33-250-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-33-251-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-33-350-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-33-901-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-33-902-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-35-215-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-216-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-220-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-223-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-232-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-234-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-235-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-236-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-237-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-426-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-429-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-35-903-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-503-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-504-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-505-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-506-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-508-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-509-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-510-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-512-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-546-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-552-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-553-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-558-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-567-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-37-609-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF10-42-357-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-42-386-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-49-605-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-49-606-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-49-612-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-49-624-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-49-625-aus","1","1","1","1","1","0","0","20260122","20260426"
"MF10-49-626-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-49-630-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-53-400-aus","0","0","1","1","1","0","0","20260122","20260426"
"MF10-53-420-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-53-427-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-53-428-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-53-471-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-58-G01-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-58-G10-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-58-G20-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-58-G22-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-58-G23-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-58-G24-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-58-G25-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-58-G43-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-64-L01-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-64-L12-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-64-L13-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-64-L14-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-64-L15-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-67-G30-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G31-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G32-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G40-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G41-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G42-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G45-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G49-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF10-67-G52-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G53-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G54-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G55-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G56-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G60-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-67-G61-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-68-G30-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G31-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G32-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G40-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G41-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G42-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G45-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G53-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G55-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G56-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G60-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-68-G61-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-69-G32-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G40-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G41-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G42-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G53-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G54-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G55-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G56-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G60-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-69-G61-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF10-70-G32-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-70-G42-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-70-G52-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-70-G53-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-70-G54-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-70-G55-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-70-G60-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF10-78-SY1-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-78-SY2-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF10-78-SY3-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-14-901-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-18-901-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-18-902-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-18-903-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-19-663-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-664-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-670-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-671-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-672-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-675-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-677-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-679-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-680-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-682-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-688-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-689-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-690-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-691-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-693-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-694-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-699-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-732-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-735-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-736-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-737-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-738-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-742-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-755-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-19-765-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-663-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-664-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-670-aus","0","0","0","1","0","0","0","20260122","20260426"
"MF11-21-671-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-672-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-677-aus","0","0","0","1","1","0","0","20260122","20260426"
